,City,Country,Latitude,Longitude,Hotel Name
0,Atuona,PF,-9.8,-139.0333,Simplicité Marquises
1,Busselton,AU,-33.65,115.3333,Esplanade Hotel
2,Ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
3,Leningradskiy,RU,69.3833,178.4167,
4,Sitka,US,57.0531,-135.33,Aspen Suites Hotel Sitka
5,Omsukchan,RU,62.5333,155.8,
6,Hermanus,ZA,-34.4187,19.2345,Birkenhead House
7,Okhotsk,RU,59.3833,143.3,
8,Hithadhoo,MV,-0.6,73.0833,Rekidhiye Inn
9,Urusha,RU,54.05,122.9,
10,Katsuura,JP,35.1333,140.3,Katsuura Hilltop Hotel & Residence
11,George Town,MY,5.4112,100.3354,"Eastern & Oriental Hotel, Penang"
12,Kapaa,US,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Cabedelo,BR,-6.9811,-34.8339,Hotel Almagre
14,Sal Rei,CV,16.1833,-22.9167,Ouril Hotel Agueda
15,Lata,PT,40.1629,-8.3327,Quinta do Outeiro
16,Chokurdakh,RU,70.6333,147.9167,
17,North Platte,US,41.1239,-100.7654,Tru by Hilton North Platte
18,Acapulco de Juárez,MX,16.8634,-99.8901,Hotel Elcano Acapulco
19,Esperance,AU,-33.8667,121.9,The Jetty Resort
20,Saskylakh,RU,71.9167,114.0833,
21,Albany,US,42.6001,-73.9662,
22,Olafsvik,IS,64.8945,-23.7142,Hotel Olafsvik
23,Cochrane,CA,51.1834,-114.4687,Rockyview Hotel
24,Carberry,CA,49.8689,-99.3602,Robins nest motel and cafe
25,Turukhansk,RU,65.8167,87.9833,"ООО ""Туруханская пушнина"""
26,Bredasdorp,ZA,-34.5322,20.0403,Bredasdorp Country Manor
27,Vaini,TO,-21.2,-175.2,Paradise First Hotel
28,Lebu,CL,-37.6167,-73.65,Hotel Plaza Lebu
29,Trincomalee,LK,8.5711,81.2335,Margosa Bay
30,Punta Arenas,CL,-53.15,-70.9167,Hotel Carpa Manzano
31,Rikitea,PF,-23.1203,-134.9692,Pension Maro'i
32,Aracaju,BR,-10.9111,-37.0717,Quality Hotel Aracaju
33,Chapais,CA,49.7834,-74.8492,Hôtel Opémiska
34,Goundam,ML,16.4145,-3.6708,
35,Saint George,US,37.1041,-113.5841,Red Lion Hotel & Conference Center St. George
36,San Cristobal,VE,7.7669,-72.225,Lidotel Hotel Boutique San Cristobal
37,Tuatapere,NZ,-46.1333,167.6833,Waiau Hotel
38,Kavaratti,IN,10.5669,72.642,Bismillah Hotel And Lodging
39,Castro,BR,-24.7911,-50.0119,Hotel Buganville Express
40,Port Elizabeth,ZA,-33.918,25.5701,Millbury Guesthouse
41,Sulphur Springs,US,33.1385,-95.6011,Hampton Inn Sulphur Springs
42,Craig,US,40.5153,-107.5464,Craig Hotel
43,Panzhihua,CN,26.5851,101.7128,Panzhihua Hotel
44,Byron Bay,AU,-28.65,153.6167,Bayhaven Lodge
45,Torbay,CA,47.6666,-52.7314,
46,Faanui,PF,-16.4833,-151.75,Blue Heaven Island
47,Newport,GB,51.5877,-2.9984,The Celtic Manor Resort
48,Oskaloosa,US,41.2964,-92.6444,EverSpring Inn & Suites - Oskaloosa
49,Cândido Mendes,BR,-1.4467,-45.7167,Hotel e Restaurante Natalio
50,Saint Paul Harbor,US,57.79,-152.4072,Shelikof Lodge
51,Natitingou,BJ,10.3042,1.3796,Hotel Totora
52,Krasnosel'kup,RU,65.7,82.4667,
53,Cockburn Town,TC,21.4612,-71.1419,Osprey Beach Hotel
54,Mataura,NZ,-46.1927,168.8643,Ellie's Villa
55,Qaanaaq,GL,77.484,-69.3632,Qaanaaq Hotel
56,Butaritari,KI,3.0707,172.7902,
57,Trairi,BR,-3.2778,-39.2689,Rede Beach: Hotel em Guajiru
58,San Patricio,MX,19.2167,-104.7,Hotel Trivento
59,Mossendjo,CG,-2.9506,12.7261,Hotel Ecritures (Residence Charles NGOUBILI)
60,New Norfolk,AU,-42.7826,147.0587,Old Colony Inn
61,Nioro,GM,13.35,-15.75,
62,Atbasar,KZ,51.8,68.3333,"The Ritz-Carlton, Astana"
63,Dudinka,RU,69.4058,86.1778,Hotel Viktoria
64,Iqaluit,CA,63.7506,-68.5145,Frobisher Inn
