,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,82.6,71,60,12.24,PF,1587060000
1,Busselton,-33.65,115.3333,56.79,79,0,11.56,AU,1587060000
2,Ushuaia,-54.8,-68.3,56.21,53,99,6.78,AR,1587060000
3,Leningradskiy,69.3833,178.4167,13.68,95,100,9.44,RU,1587060000
4,Sitka,57.0531,-135.33,44.96,90,98,4.03,US,1587060000
5,Omsukchan,62.5333,155.8,9.77,88,100,3.58,RU,1587060000
6,Hermanus,-34.4187,19.2345,62.8,86,18,4.99,ZA,1587060000
7,Okhotsk,59.3833,143.3,17.74,84,13,11.59,RU,1587060000
8,Hithadhoo,-0.6,73.0833,85.55,68,57,5.68,MV,1587060000
9,Urusha,54.05,122.9,32.92,74,0,2.06,RU,1587060000
10,Katsuura,35.1333,140.3,53.37,71,100,15.84,JP,1587060000
11,George Town,5.4112,100.3354,82.54,82,100,2.17,MY,1587060000
12,Kapaa,22.0752,-159.319,74.23,75,56,13.11,US,1587060000
13,Cabedelo,-6.9811,-34.8339,85.06,70,99,11.77,BR,1587060000
14,Sal Rei,16.1833,-22.9167,73.94,79,79,17.27,CV,1587060000
15,Lata,40.1629,-8.3327,59.04,79,73,10.85,PT,1587060000
16,Chokurdakh,70.6333,147.9167,-10.28,91,98,8.66,RU,1587060000
17,North Platte,41.1239,-100.7654,33.26,68,100,18.7,US,1587060000
18,Acapulco de Juárez,16.8634,-99.8901,91.24,34,0,6.78,MX,1587060000
19,Esperance,-33.8667,121.9,58.44,77,0,6.89,AU,1587060000
20,Saskylakh,71.9167,114.0833,-12.08,89,18,0.56,RU,1587060000
21,Albany,42.6001,-73.9662,39.99,58,51,13.4,US,1587060000
22,Olafsvik,64.8945,-23.7142,40.51,86,91,16.28,IS,1587060000
23,Cochrane,51.1834,-114.4687,38.1,57,46,3.71,CA,1587060000
24,Carberry,49.8689,-99.3602,35.2,62,57,12.03,CA,1587060000
25,Turukhansk,65.8167,87.9833,34.32,88,88,10.51,RU,1587060000
26,Bredasdorp,-34.5322,20.0403,61.2,88,44,4.47,ZA,1587060000
27,Vaini,-21.2,-175.2,77.45,78,100,13.31,TO,1587060000
28,Lebu,-37.6167,-73.65,65.32,64,82,11.65,CL,1587060000
29,Trincomalee,8.5711,81.2335,81.16,81,61,4.81,LK,1587060000
30,Punta Arenas,-53.15,-70.9167,51.6,66,100,9.06,CL,1587060000
31,Rikitea,-23.1203,-134.9692,76.87,76,36,10.58,PF,1587060000
32,Aracaju,-10.9111,-37.0717,86.14,67,64,12.37,BR,1587060000
33,Chapais,49.7834,-74.8492,29.91,81,100,12.46,CA,1587060000
34,Goundam,16.4145,-3.6708,100.17,14,14,7.05,ML,1587060000
35,Saint George,37.1041,-113.5841,68.05,18,64,9.04,US,1587060000
36,San Cristobal,7.7669,-72.225,87.51,34,79,2.44,VE,1587060000
37,Tuatapere,-46.1333,167.6833,45.72,89,100,4.94,NZ,1587060000
38,Kavaratti,10.5669,72.642,84.96,67,15,5.39,IN,1587060000
39,Castro,-24.7911,-50.0119,70.45,27,0,4.94,BR,1587060000
40,Port Elizabeth,-33.918,25.5701,62.65,74,2,6.78,ZA,1587060000
41,Sulphur Springs,33.1385,-95.6011,67.33,55,0,13.58,US,1587060000
42,Craig,40.5153,-107.5464,31.62,43,100,10.54,US,1587060000
43,Panzhihua,26.5851,101.7128,69.55,28,1,2.21,CN,1587060000
44,Byron Bay,-28.65,153.6167,66.51,82,2,8.95,AU,1587060000
45,Torbay,47.6666,-52.7314,40.3,75,62,13.15,CA,1587060000
46,Faanui,-16.4833,-151.75,82.6,71,59,9.57,PF,1587060000
47,Newport,51.5877,-2.9984,65.7,83,46,6.85,GB,1587060000
48,Oskaloosa,41.2964,-92.6444,41.72,56,100,7.4,US,1587060000
49,Cândido Mendes,-1.4467,-45.7167,83.53,78,99,1.43,BR,1587060000
50,Saint Paul Harbor,57.79,-152.4072,43.81,88,52,3.09,US,1587060000
